sustancia,e_number,doi,titulo,archivo_destino,descargado
Potassium aluminium silicate; Sodium aluminium silicate,E554; E555,10.2903/j.efsa.2020.6152,Re-evaluation of sodium aluminium silicate (E 554) and potassium aluminium silicate (E 555) as food additives,E554-E555_10.2903_j.efsa.2020.6152.pdf,
Potassium ferrocyanide; Sodium ferrocyanide; Calcium ferrocyanide,E535; E536; E538,10.2903/j.efsa.2018.5374,"Re-evaluation of sodium ferrocyanide (E 535), potassium ferrocyanide (E 536) and calcium ferrocyanide (E 538) as food additives",E535-E536-E538_10.2903_j.efsa.2018.5374.pdf,
Potassium nitrate; Sodium nitrate; Endogenous N-nitroso compounds (ENOCs),E251; E252,10.2903/j.efsa.2017.4787,Re-evaluation of sodium nitrate (E 251) and potassium nitrate (E 252) as food additives,E251-E252_10.2903_j.efsa.2017.4787.pdf,
"Magnesium salts of fatty acids; Sodium, potassium and calcium salts of fatty acids (E 470a)",E470A; E470B,10.2903/j.efsa.2018.5180,"Re-evaluation of sodium, potassium and calcium salts of fatty acids (E 470a) and magnesium salts of fatty acids (E 470b) as food additives",E470A-E470B_10.2903_j.efsa.2018.5180.pdf,
Sorbitan monopalmitate; Sorbitan monooleate; Sorbitan monolaurate; Sorbitan tristearate; Sorbitan monostearate,E491; E492; E493; E494; E495,10.2903/j.efsa.2017.4788,"Re-evaluation of sorbitan monostearate (E 491), sorbitan tristearate (E 492), sorbitan monolaurate (E 493), sorbitan monooleate (E 494) and sorbitan monopalmitate (E 495) when used as food additives",E491-E492-E493-E494-E495_10.2903_j.efsa.2017.4788.pdf,
Soybean hemicellulose,E426,10.2903/j.efsa.2017.4721,Re-evaluation of soybean hemicellulose (E 426) as a food additive,E426_10.2903_j.efsa.2017.4721.pdf,
Tin (II) chloride,E512,10.2903/j.efsa.2018.5295,Re-evaluation of stannous chloride (E 512) as food additive,E512_10.2903_j.efsa.2018.5295.pdf,
Stearyl tartrate,E483,10.2903/j.efsa.2020.6033,Re-evaluation of stearyl tartrate (E 483) as a food additive,E483_10.2903_j.efsa.2020.6033.pdf,
Sucrose acetate isobutyrate,E444,10.2903/j.efsa.2016.4489,Re-evaluation of sucrose acetate isobutyrate (E 444) as a food additive,E444_10.2903_j.efsa.2016.4489.pdf,
Potassium hydrogen sulphate; Potassium sulphates; Calcium sulphate; Sulphuric acid; Sodium bisulphate; Ammonium sulphate; Sodium sulphates,E513,10.2903/j.efsa.2019.5868,"Re-evaluation of sulphuric acid and its sodium, potassium, calcium and ammonium salts (E 513, 514 (i), 514 (ii), 515 (i), 515 (ii), 516 and 517) as food additive",E513_10.2903_j.efsa.2019.5868.pdf,
Tara gum,E417,10.2903/j.efsa.2017.4863,Re-evaluation of tara gum (E 417) as a food additive,E417_10.2903_j.efsa.2017.4863.pdf,
Titanium dioxide,E171,10.2903/j.efsa.2016.4545,Re-evaluation of titanium dioxide (E 171) as a food additive,E171_10.2903_j.efsa.2016.4545.pdf,
Tragacanth,E413,10.2903/j.efsa.2017.4789,Re-evaluation of tragacanth (E 413) as a food additive,E413_10.2903_j.efsa.2017.4789.pdf,
Xanthan gum,E415,10.2903/j.efsa.2017.4909,Re-evaluation of xanthan gum (E 415) as a food additive,E415_10.2903_j.efsa.2017.4909.pdf,
Xanthan gum,E415,10.2903/j.efsa.2023.7951,Re-evaluation of xanthan gum (E 415) as a food additive infoods for infants below 16 weeks of age and follow-up ofits re-evaluation as a food additive for uses in foods for allpopulation groups,E415_10.2903_j.efsa.2023.7951.pdf,
Sunset Yellow FCF,E110,10.2903/j.efsa.2014.3765,Reconsideration of the temporary ADI and refined exposure assessment for Sunset Yellow FCF (E110),E110_10.2903_j.efsa.2014.3765.pdf,
Rosemary extract liquid of natural origin,E392,10.2903/j.efsa.2018.5373,Refined exposure assessment of extracts of rosemary (E 392) from its use as food additive,E392_10.2903_j.efsa.2018.5373.pdf,
Sucrose esters of fatty acids,E473,10.2903/j.efsa.2018.5087,Refined exposure assessment of sucrose esters of fatty acids (E 473) from its use as a food additive,E473_10.2903_j.efsa.2018.5087.pdf,
Titanium dioxide,E171,10.2903/j.efsa.2021.6585,Safety assessment of titanium dioxide (E171) as a food additive,E171_10.2903_j.efsa.2021.6585.pdf,
Steviol glycosides,E960,10.2903/j.efsa.2020.6106,Safety of a proposed amendment of the specifications for steviol glycosides (E 960) as a food additive: to expand the list of steviol glycosides to all those identified in the leaves of Stevia Rebaudiana Bertoni,E960_10.2903_j.efsa.2020.6106.pdf,
Ethyl lauroyl arginate,E243,10.2903/j.efsa.2019.5621,Safety of ethyl lauroyl arginate (E 243) as a food additive in the light of the new information provided and the proposed extension of use,E243_10.2903_j.efsa.2019.5621.pdf,
Sodium propionate,E281,10.2903/j.efsa.2016.4546,Safety of the extension of use of sodium propionate (E 281) as a food additive. EFSA Panel on Food Additives and Nutrient Sources added to Food (ANS),E281_10.2903_j.efsa.2016.4546.pdf,
Acesulfame K,E950,10.2903/j.efsa.2016.4437,Safety of the proposed extension of use of acesulfame K (E 950) in foods for special medical purposes in young children,E950_10.2903_j.efsa.2016.4437.pdf,
"Beetroot Red, betanin",E162,10.2903/j.efsa.2016.4487,Safety of the proposed extension of use of beetroot red (E 162) in foods for special medical purposes in young children,E162_10.2903_j.efsa.2016.4487.pdf,
Sucralose,E955,10.2903/j.efsa.2016.4361,Safety of the proposed extension of use of sucralose (E 955) in foods for special medical purposes in young children,E955_10.2903_j.efsa.2016.4361.pdf,
Beta-carotene,E160A,10.2903/j.efsa.2016.4434,Safety of the proposed extension of use of synthetic Beta-carotene [E 160a(ii)] in foods for special medical purposes in young children,E160A_10.2903_j.efsa.2016.4434.pdf,
Calcium carbonate; Calcium (Ca),E170,10.2903/j.efsa.2011.2318,Scientific Opinion on re-evaluation of calcium carbonate (E 170) as a food additive,E170_10.2903_j.efsa.2011.2318.pdf,
Chlorophyllins,E140,10.2903/j.efsa.2015.4085,Scientific Opinion on re-evaluation of chlorophyllins (E 140(ii)) as food additives,E140_10.2903_j.efsa.2015.4085.pdf,
Cu-chlorophylls E 141(i); Cu-chlorophyllins E 141(ii),E141,10.2903/j.efsa.2015.4151,Scientific Opinion on re-evaluation of copper complexes of chlorophylls (E 141(i)) and chlorophyllins (E 141(ii)) as food additives,E141_10.2903_j.efsa.2015.4151.pdf,
Tartrazine,E102,10.2903/j.efsa.2009.1331,Scientific Opinion on the re-evaluation Tartrazine (E 102),E102_10.2903_j.efsa.2009.1331.pdf,
4-Hexylresorcinol,E586,10.2903/j.efsa.2014.3643,Scientific Opinion on the re-evaluation of 4-hexylresorcinol (E 586) as a food additive,E586_10.2903_j.efsa.2014.3643.pdf,
Allura Red AC,E129,10.2903/j.efsa.2009.1327,Scientific Opinion on the re-evaluation of Allura Red AC (E 129) as a food additive,E129_10.2903_j.efsa.2009.1327.pdf,
Amaranth,E123,10.2903/j.efsa.2010.1649,Scientific Opinion on the re-evaluation of Amaranth (E 123) as a food additive,E123_10.2903_j.efsa.2010.1649.pdf,
Brilliant Blue FCF,E133,10.2903/j.efsa.2010.1853,Scientific Opinion on the re-evaluation of Brilliant Blue FCF (E 133) as a food additive,E133_10.2903_j.efsa.2010.1853.pdf,
Brown HT,E155,10.2903/j.efsa.2010.1536,Scientific Opinion on the re-evaluation of Brown HT (E 155) as a food additive,E155_10.2903_j.efsa.2010.1536.pdf,
Erythrosine B,E127,10.2903/j.efsa.2011.1854,Scientific Opinion on the re-evaluation of Erythrosine (E 127) as a food additive,E127_10.2903_j.efsa.2011.1854.pdf,
Green S,E142,10.2903/j.efsa.2010.1851,Scientific Opinion on the re-evaluation of Green S (E 142) as a food additive,E142_10.2903_j.efsa.2010.1851.pdf,
"Indigotine, Indigo carmine",E132,10.2903/j.efsa.2014.3768,Scientific Opinion on the re-evaluation of Indigo Carmine (E 132) as a food additive,E132_10.2903_j.efsa.2014.3768.pdf,
Litholrubine BK,E180,10.2903/j.efsa.2010.1586,Scientific Opinion on the re-evaluation of Litholrubine BK (E 180) as a food additive,E180_10.2903_j.efsa.2010.1586.pdf,
"Ponceau 4R, Cochineal Red A",E124,10.2903/j.efsa.2009.1328,Scientific Opinion on the re-evaluation of Ponceau 4R (E 124) as a food additive,E124_10.2903_j.efsa.2009.1328.pdf,
Quinoline Yellow,E104,10.2903/j.efsa.2009.1329,Scientific Opinion on the re-evaluation of Quinoline Yellow (E 104) as a food additive,E104_10.2903_j.efsa.2009.1329.pdf,
Anthocyanins,E163,10.2903/j.efsa.2013.3145,Scientific Opinion on the re-evaluation of anthocyanins (E 163) as a food additive,E163_10.2903_j.efsa.2013.3145.pdf,
Sodium ascorbate; Calcium ascorbate; Ascorbic acid,E300; E301; E302,10.2903/j.efsa.2015.4087,"Scientific Opinion on the re-evaluation of ascorbic acid (E 300), sodium ascorbate (E 301) and calcium ascorbate (E 302) as food additives",E300-E301-E302_10.2903_j.efsa.2015.4087.pdf,
Ascorbyl palmitate; Ascorbyl stearate,E304,10.2903/j.efsa.2015.4289,Scientific Opinion on the re-evaluation of ascorbyl palmitate (E 304(i)) and ascorbyl stearate (E 304(ii)) as food additives,E304_10.2903_j.efsa.2015.4289.pdf,
Aspartame,E951,10.2903/j.efsa.2013.3496,Scientific Opinion on the re-evaluation of aspartame (E 951) as a food additive.,E951_10.2903_j.efsa.2013.3496.pdf,
"Beetroot Red, betanin",E162,10.2903/j.efsa.2015.4318,Scientific Opinion on the re-evaluation of beetroot red (E 162) as a food additive,E162_10.2903_j.efsa.2015.4318.pdf,
Sodium benzoate; Benzoic acid; Calcium benzoate; Potassium benzoate,E210; E211; E212; E213,10.2903/j.efsa.2016.4433,"Scientific Opinion on the re-evaluation of benzoic acid (E 210), sodium benzoate (E 211), potassium benzoate (E 212) and calcium benzoate (E 213) as food additives",E210-E211-E212-E213_10.2903_j.efsa.2016.4433.pdf,
