sustancia,e_number,doi,titulo,archivo_destino,descargado
Potassium sorbate; Sorbic acid; Calcium sorbate,E200; E202; E203,10.2903/j.efsa.2015.4144,"Scientific Opinion on the re-evaluation of sorbic acid (E 200), potassium sorbate (E 202) and calcium sorbate (E 203) as food additives",E200-E202-E203_10.2903_j.efsa.2015.4144.pdf,
Sulfur dioxide and sulfites group,E220; E221; E222; E223; E224; E226; E227; E228,10.2903/j.efsa.2016.4438,"Scientific Opinion on the re-evaluation of sulfur dioxide (E 220), sodium sulfite (E 221), sodium bisulfite (E 222), sodium metabisulfite (E 223), potassium metabisulfite (E 224), calcium sulfite (E 226), calcium bisulfite (E 227) and potassium bisulfite (E 228) as food additives",E220-E221-E222-E223-E224-E226-E227-E228_10.2903_j.efsa.2016.4438.pdf,
Tocopherol-rich extract; Delta-tocopherol; DL-alpha-tocopherol; Gamma-tocopherol,E306; E307; E308; E309,10.2903/j.efsa.2015.4247,"Scientific Opinion on the re-evaluation of tocopherol-rich extract (E 306), alpha-tocopherol (E 307), gamma-tocopherol (E 308) and delta-tocopherol (E 309) as food additives",E306-E307-E308-E309_10.2903_j.efsa.2015.4247.pdf,
Vegetable carbon Black,E153,10.2903/j.efsa.2012.2592,Scientific Opinion on the re-evaluation of vegetable carbon (E 153) as a food additive,E153_10.2903_j.efsa.2012.2592.pdf,
"Azorubine, Carmoisine",E122,10.2903/j.efsa.2009.1332,Scientific Opinion on the re-evaluationof Azorubine/Carmoisine (E 122) as a food additive,E122_10.2903_j.efsa.2009.1332.pdf,
Brilliant Black BN,E151,10.2903/j.efsa.2010.1540,Scientific Opinion on the re-evaluationof Brilliant Black BN (E 151) as a food additive,E151_10.2903_j.efsa.2010.1540.pdf,
Brown FK,E154,10.2903/j.efsa.2010.1535,Scientific Opinion on the re-evaluationof Brown FK (E 154) as a food additive,E154_10.2903_j.efsa.2010.1535.pdf,
Beta-apo-8'-carotenal (C 30),E160E,10.2903/j.efsa.2014.3492,Scientific Opinion on the reconsideration of the ADI and a refined exposure assessment of beta-apo-8'-carotenal (E 160e),E160E_10.2903_j.efsa.2014.3492.pdf,
Thaumatin,E957,10.2903/j.efsa.2015.4290,Scientific Opinion on the safety of the extension of use of thaumatin (E 957),E957_10.2903_j.efsa.2015.4290.pdf,
Erythritol,E968,10.2903/j.efsa.2015.4033,Scientific Opinion on the safety of the proposed extension of use of erythritol (E 968) as a food additive,E968_10.2903_j.efsa.2015.4033.pdf,
